Time,Velocity,Altitude,Pressure,Temperature
2020 01 10::11:19:25:798,274.1561742450723,10025.87367955357,94.17366612461643,-41.74394850498801
2020 01 10::11:19:25:798,251.82545380893103,10028.112610103623,58.36870706973028,-42.862885721742884
2020 01 10::11:19:25:798,296.918901852093,10045.811778706628,51.22596142430799,26.9678516820573
2020 01 10::11:19:25:798,263.2542230298979,10027.413646704323,43.104458617231344,-21.166078072351024
2020 01 10::11:19:25:798,250.666572855352,10036.612712705475*,61.38185287460617,-42.08458385822691
2020 01 10::11:19:25:799,299.0977216778019,10129.34046138321,86.13804400710723,-1.3431458063976152
2020 01 10::11:19:25:799,274.49949330104715,10073.784519107021,91.78467452921504,22.85760020081456
2020 01 10::11:19:25:799,296.16848274676755,10124.142544072909,89.48363921178036,42.29457846379407
2020 01 10::11:19:25:799,253.42008206676405,10054.170563325577,95.33446005525121,-48.58490722921083
2020 01 10::11:19:25:799,290.61334703931897,10049.555983389713,88.82211446613039,-39.811835324363244
2020 01 10::11:19:25:799,253.4542523434169,10088.124992964986,54.903611526243985,22.378729371702207
2020 01 10::11:19:25:799,286.23340689950766,10081.369925544099,61.373320167493105,-39.69026036967901
2020 01 10::11:19:25:800,299.19530171439095,10018.196183978704,70.78379152009133,-26.39699836947417
2020 01 10::11:19:25:800,287.58970980610957,10040.26498306993,83.21052846940087,46.44039988907913
2020 01 10::11:19:25:800,279.1218279328204,10048.034646806795,72.53586893373969,35.56289948314975
2020 01 10::11:19:25:800,264.4962993696613,10087.579873465655,94.6888753977053,29.525509235380667
2020 01 10::11:19:25:800,276.54127187576285,10000.494834204514,71.41483408649121,18.652207779338767
2020 01 10::11:19:25:800,277.00213644564167,10032.662541763857,47.65970129135161,4.685526430806952
2020 01 10::11:19:25:800,286.51062899059156,10092.399621381546,84.5415291699253,9.301389793665173
2020 01 10::11:19:25:800,252.46348945596822,10124.461980067294,83.14264825452527,11.46046913174741
2020 01 10::11:19:25:800,291.5858871264692,10108.43080072442*,76.99308324128293,-45.0068303437137
2020 01 10::11:19:25:801,268.8083250827142,10050.017038300864,43.12740035249972,19.866142558329642
2020 01 10::11:19:25:801,281.7517756521219,10028.151345921562,42.983925087425625,43.25393801089649
2020 01 10::11:19:25:801,260.59429028886154,10112.498476470577,95.17693641377689,9.840273800454277
2020 01 10::11:19:25:801,266.38336475379606,10184.76740198881,62.30924303965004,4.699126441336865
2020 01 10::11:19:25:801,276.9618306135696,10148.632939229694*,63.50416641869938,36.656642354386065
